group	auc
trad_grs	0.685418904403867
trad_grs	0.649704618689581
trad_grs	0.722073039742213
trad_grs	0.728249194414608
trad_grs	0.702201933404941
trad_grs	0.672529538131042
trad_grs	0.713077336197637
trad_grs	0.686493018259936
trad_grs	0.719924812030075
trad_grs	0.723684210526316
trad_grs	0.643528464017186
trad_grs	0.603249194414608
trad_grs	0.679914070891514
trad_grs	0.606471535982814
trad_grs	0.662593984962406
trad_grs	0.687164339419979
trad_grs	0.684747583243824
trad_grs	0.638292158968851
trad_grs	0.632921589688507
trad_grs	0.657894736842105
trad_grs	0.597744360902256
trad_grs	0.660177228786251
trad_grs	0.625
trad_grs	0.730128893662728
trad_grs	0.764903329752954
trad_grs	0.692534908700322
trad_grs	0.710257787325457
trad_grs	0.622314715359828
trad_grs	0.76530612244898
species_fdr	0.675933441558442
species_fdr	0.667207792207792
species_fdr	0.629261363636364
species_fdr	0.731331168831169
species_fdr	0.632203733766234
species_fdr	0.671570616883117
species_fdr	0.690645292207792
species_fdr	0.706879058441558
species_fdr	0.654220779220779
species_fdr	0.679180194805195
species_fdr	0.717025162337662
species_fdr	0.701603084415584
species_fdr	0.649249188311688
species_fdr	0.664163961038961
species_fdr	0.695413961038961
species_fdr	0.691964285714286
species_fdr	0.622159090909091
species_fdr	0.672686688311688
species_fdr	0.776785714285714
species_fdr	0.723315746753247
species_fdr	0.595373376623377
species_fdr	0.660612824675325
species_fdr	0.694703733766234
species_fdr	0.665482954545455
species_fdr	0.699878246753247
species_fdr	0.613129058441558
species_fdr	0.725040584415584
species_fdr	0.661323051948052
species_fdr	0.708705357142857
species_fdr	0.737012987012987
species_fdr	0.650060876623377
species_fdr	0.63382711038961
species_fdr	0.664671266233766
species_fdr	0.631189123376623
species_fdr	0.656047077922078
species_fdr	0.694399350649351
species_fdr	0.703632305194805
species_fdr	0.709314123376623
species_fdr	0.652394480519481
species_fdr	0.677658279220779
species_fdr	0.62987012987013
species_fdr	0.636769480519481
species_fdr	0.660815746753247
species_fdr	0.738027597402597
species_fdr	0.663859577922078
species_fdr	0.650263798701299
species_fdr	0.693689123376623
species_fdr	0.726258116883117
species_fdr	0.645190746753247
species_fdr	0.661830357142857
species_fdr	0.685369318181818
species_fdr	0.707893668831169
species_fdr	0.717938311688312
species_fdr	0.594967532467533
species_fdr	0.576603084415584
species_fdr	0.700588474025974
species_fdr	0.729809253246753
species_fdr	0.672686688311688
species_fdr	0.775263798701299
species_fdr	0.675730519480519
species_fdr	0.657568993506493
species_fdr	0.704545454545455
species_fdr	0.60541801948052
species_fdr	0.672280844155844
species_fdr	0.674614448051948
species_fdr	0.689630681818182
species_fdr	0.78226461038961
species_fdr	0.697646103896104
species_fdr	0.726968344155844
species_fdr	0.674005681818182
species_fdr	0.700791396103896
species_fdr	0.692674512987013
species_fdr	0.665888798701299
species_fdr	0.660409902597403
species_fdr	0.656554383116883
species_fdr	0.670657467532468
species_fdr	0.667512175324675
species_fdr	0.713676948051948
species_fdr	0.678165584415584
species_fdr	0.724431818181818
species_fdr	0.631392045454545
species_fdr	0.709618506493506
species_fdr	0.736505681818182
species_fdr	0.660206980519481
species_fdr	0.646408279220779
species_fdr	0.666497564935065
species_fdr	0.735896915584416
species_fdr	0.62398538961039
species_fdr	0.608664772727273
species_fdr	0.655032467532468
species_fdr	0.681716720779221
species_fdr	0.733766233766234
species_fdr	0.666091720779221
species_fdr	0.681818181818182
species_fdr	0.634131493506493
species_fdr	0.686282467532468
species_fdr	0.679383116883117
species_fdr	0.668526785714286
species_fdr	0.693993506493507
species_fdr	0.691152597402597
trad_species_fdr	0.655826558265583
trad_species_fdr	0.760049683830172
trad_species_fdr	0.794602529358627
trad_species_fdr	0.756210478771454
trad_species_fdr	0.72877145438121
trad_species_fdr	0.798554652213189
trad_species_fdr	0.748419150858175
trad_species_fdr	0.775745257452574
trad_species_fdr	0.708107497741644
trad_species_fdr	0.70189701897019
trad_species_fdr	0.731142728093948
trad_species_fdr	0.717705510388437
trad_species_fdr	0.743112014453478
trad_species_fdr	0.758017163504968
trad_species_fdr	0.755532971996387
trad_species_fdr	0.755758807588076
trad_species_fdr	0.737014453477868
trad_species_fdr	0.755307136404697
trad_species_fdr	0.725045167118338
trad_species_fdr	0.660682023486902
trad_species_fdr	0.733062330623306
trad_species_fdr	0.817750677506775
trad_species_fdr	0.766485998193315
trad_species_fdr	0.69139566395664
trad_species_fdr	0.684846431797651
trad_species_fdr	0.751919602529359
trad_species_fdr	0.685975609756098
trad_species_fdr	0.7016711833785
trad_species_fdr	0.668473351400181
trad_species_fdr	0.766824751580849
trad_species_fdr	0.696138211382114
trad_species_fdr	0.6943315266486
trad_species_fdr	0.721770551038844
trad_species_fdr	0.63719512195122
trad_species_fdr	0.745144534778681
trad_species_fdr	0.679426377597109
trad_species_fdr	0.71093044263776
trad_species_fdr	0.682023486901536
trad_species_fdr	0.764679313459801
trad_species_fdr	0.761517615176152
trad_species_fdr	0.720302619692864
trad_species_fdr	0.745144534778681
trad_species_fdr	0.806458897922313
trad_species_fdr	0.723125564588979
trad_species_fdr	0.715221318879855
trad_species_fdr	0.77122854561879
trad_species_fdr	0.691847335140018
trad_species_fdr	0.669376693766938
trad_species_fdr	0.70776874435411
trad_species_fdr	0.705284552845528
trad_species_fdr	0.793247515808491
trad_species_fdr	0.706865401987353
trad_species_fdr	0.647583559168925
trad_species_fdr	0.798554652213189
trad_species_fdr	0.704155374887082
trad_species_fdr	0.7289972899729
trad_species_fdr	0.711607949412827
trad_species_fdr	0.686201445347787
trad_species_fdr	0.638324299909666
trad_species_fdr	0.681345980126468
trad_species_fdr	0.715221318879856
